pk_business_id,License Number,Federal Registry No,Local Registry No,Business Name,Legal Type,pk_stakeholder_ids,Stakeholder Rates,Stakeholder Types,Activity Names,Activity Names Serial #,Unit Including,Unit,Landlord,Street,Zone,Fax,Telephone,Mobile,P.O. Box,Expiry Date,Renewal Date,Est. Date,Receipt Date,Receipt No.,Remarks
1,5767199809,87-700-4767,28-665-9737,Moen and Sons,Research and Development,"33, 19","0.17, 0.83",Project Manager,Fashion Designing,1,9671535682,3,3720377164,Roth,,314-152-5521,675-900-3197,171-899-1381,4,4/1/2019,23/02/2018,5/9/2018,23/10/2018,2449885889,
2,6985713270,14-403-5344,61-486-2708,Rolfson-Wehner,Training,Souk al Waha,1,Project Manager,IT Services,2,2193241538,4,8877738391,Arapahoe,,861-819-4968,139-535-0193,170-935-4002,248,29/05/2018,6/11/2018,25/11/2018,5/4/2018,503505978,
3,3486158015,11-751-4543,00-087-9711,Bruen-Emard,Business Development,Orange Company,0.5,Partner & Responsible Manager,Car Manufacturing,3,5684508944,12,4063558533,Talisman,,563-726-6463,460-810-2697,753-484-5377,98,7/8/2018,1/7/2018,2/11/2018,3/7/2018,5244983040,
4,5526748197,31-180-7972,00-390-2535,Windler Inc,Services,Glass Inc.,0.1,Signatory,IT Services,4,5661772955,31,9043110337,Anhalt,,709-327-6215,854-587-2992,587-831-8833,3605,12/2/2019,22/03/2018,22/10/2018,23/08/2018,5677392030,
5,8019048790,43-175-9523,49-408-6214,Cormier-Stark,Business Development,Souk al Waha,0.2,Sponsor,Food Provider,5,3135580148,14,3075101249,Blackbird,,786-562-8179,422-254-5400,553-745-4792,771,3/8/2018,7/6/2018,7/9/2018,24/09/2018,7533836081,
6,7852057365,55-840-6545,33-974-5025,Nader-Mueller,Product Management,Souk al Waha,0.7,Project Manager,Car Manufacturing,1,3345345625,17,1407559834,Parkside,,202-373-7691,170-838-9104,366-763-3778,666,15/09/2018,8/2/2019,18/05/2018,21/08/2018,4873722241,
7,7532405222,98-656-7585,48-801-5317,Huels-Hagenes,Legal, ,0.9,Signatory,Food Provider,2,2954694319,2,6992139053,Darwin,,661-736-3611,483-869-2954,581-294-5090,22538,23/01/2019,15/10/2018,19/09/2018,22/07/2018,9441558753,
8,8656004964,23-299-7761,94-315-3268,Reinger-Okuneva,Engineering,Orange Company,0.5,Partner & Responsible Manager,Food Delivery,3,9622518796,30,3654300758,Welch,,661-231-8223,499-739-8578,544-980-0496,4358,12/2/2019,3/7/2018,14/03/2018,28/01/2019,2692012100,
9,1561709786,05-235-2271,74-304-3710,Klocko-Fay,Engineering,Souk al Waha,0.4,Sponsor,IT Services,4,1923746286,25,8574867772,Lyons,,379-262-6409,531-881-3454,857-297-9522,53,5/6/2018,15/05/2018,15/11/2018,27/12/2018,8977601908,
10,5641025542,07-250-3090,16-027-8910,Jenkins LLC,Support,Glass Inc.,0.6,Project Manager,Car Manufacturing,5,883078538,21,7417260748,Hanover,,215-501-6306,234-445-5206,482-749-2527,514,11/2/2019,13/01/2019,29/09/2018,1/6/2018,6560806707,
11,3171693577,42-090-1681,17-215-2046,Kiehn Group,Marketing,Orange Company,0.1,Partner & Responsible Manager,Food Delivery,1,6564176171,13,2729616152,Little Fleur,,105-950-6551,919-687-0580,695-522-5886,8,23/08/2018,9/11/2018,21/09/2018,8/6/2018,6127501849,
12,25547089,76-963-6592,41-355-7145,Ondricka-Osinski,Human Resources,Orange Company,0.4,Signatory,Food Delivery,2,9121894426,2,5706903492,Meadow Vale,,586-257-6849,697-856-8941,321-593-9963,8190,13/11/2018,8/6/2018,15/03/2018,31/12/2018,6268897765,
13,9680828336,82-327-6451,46-816-6765,Kling-Lebsack,Accounting,Glass Inc.,0.1,Sponsor,Car Manufacturing,3,303382430,31,4685152352,Calypso,,978-638-0733,938-190-7756,940-575-6689,98,27/01/2019,28/12/2018,31/07/2018,11/3/2018,2334183245,
14,7543170078,54-091-7787,10-874-3040,Rau LLC,Business Development,Steak Holder,0.3,Sponsor,Car Manufacturing,4,2105234151,2,8213776879,Judy,,983-202-0611,355-506-3334,653-998-1203,7823,3/9/2018,13/07/2018,24/07/2018,13/12/2018,686545095,
15,6749076696,44-753-7361,47-219-5659,Connelly-Lehner,Research and Development,Steak Holder,0.1,Signatory,Food Provider,5,7198027202,7,350495351,Lukken,,846-430-8741,910-299-7903,808-959-3556,88,10/4/2018,30/07/2018,7/4/2018,19/11/2018,5472537819,
16,5458776216,79-712-8338,21-122-5872,Lueilwitz Group,Support,Orange Company,0.9,Sponsor,Car Manufacturing,1,1982766670,9,9705604762,2nd,,269-235-4823,929-124-4881,334-633-5038,368,26/02/2018,18/01/2019,7/5/2018,19/05/2018,4193684598,
17,9379241518,79-208-3253,26-718-0284,"Auer, Robel and Kohler",Accounting,Steak Holder,0.8,Signatory,Food Provider,2,4723021949,11,2832837530,Lien,,817-111-3028,925-770-4435,279-291-8959,4,22/06/2018,15/07/2018,5/11/2018,6/4/2018,1810735017,
18,7329681849,77-117-5196,96-290-9669,"Dach, Heathcote and Murazik",Support,Glass Inc.,0.8,Sponsor,Fashion Designing,3,8329112454,27,8537110140,Myrtle,,415-552-7094,477-215-1738,246-465-0336,1,22/11/2018,26/01/2019,3/7/2018,30/09/2018,6413157771,
19,9466990209,93-421-0321,72-062-4925,"Lind, Muller and Crona",Training,Steak Holder,0.2,Sponsor,Fashion Designing,4,8988315405,4,547773420,Warrior,,913-666-9224,856-289-0993,755-108-7051,7614,28/01/2019,17/06/2018,23/01/2019,28/09/2018,242128378,
20,1177205394,15-000-2795,94-907-6231,"Raynor, Daugherty and MacGyver",Research and Development,Souk al Waha,0.9,Sponsor,IT Services,5,5480664409,30,1351121189,Cherokee,,841-332-9789,895-745-6469,323-124-3867,942,12/1/2019,3/6/2018,1/4/2018,31/01/2019,9637372474,
21,2857684703,20-879-3999,70-383-7351,"McClure, Schulist and Predovic",Sales,Orange Company,0.1,Sponsor,Food Provider,1,9701812360,18,5948148688,Londonderry,,240-375-7754,659-131-0654,842-480-5001,41994,8/7/2018,22/03/2018,5/3/2018,4/9/2018,6412891242,
22,2944402838,27-303-3433,20-083-6858,"Schmeler, Klein and Zboncak",Services,Steak Holder,0.3,Partner & Responsible Manager,Food Provider,2,3294685912,23,2990522859,Gale,,529-662-4634,943-958-9884,702-187-5051,10,20/03/2018,16/09/2018,4/3/2018,23/12/2018,3797946384,
23,9438253823,91-020-5713,10-664-4247,"Spencer, Torp and Boehm",Human Resources,Souk al Waha,0.3,Sponsor,Fashion Designing,3,1559104902,27,5058998076,Petterle,,488-492-9664,380-925-7652,864-717-8060,4151,11/10/2018,3/5/2018,21/11/2018,15/10/2018,1955668183,
24,7591048228,35-653-3281,62-806-4067,Carter-Pfeffer,Training,Souk al Waha,0.7,Project Manager,Car Manufacturing,4,2525791878,19,9193711360,Longview,,365-925-4853,725-681-9421,455-211-3462,71645,25/12/2018,19/02/2018,19/08/2018,12/10/2018,7365683880,
25,4466001073,08-429-3909,43-793-6914,"Farrell, Blanda and McGlynn",Sales,Glass Inc.,0.7,Partner & Responsible Manager,Car Manufacturing,5,5437853432,19,898444624,Sauthoff,,440-145-9313,412-597-1440,570-949-4779,6,17/09/2018,17/05/2018,13/04/2018,10/12/2018,9613935371,
26,6497487891,38-153-2304,44-404-0961,Conroy-Kreiger,Marketing,Souk al Waha,0.3,Project Manager,Car Manufacturing,1,6964547010,9,4087419290,East,,134-870-4476,653-193-0125,408-807-6224,8,2/8/2018,18/09/2018,3/7/2018,5/6/2018,2599796008,
27,4670067567,66-999-0157,90-367-8348,"Tromp, Morissette and Borer",Human Resources,Glass Inc.,0.8,Partner & Responsible Manager,IT Services,2,1279380233,4,5571419385,Anzinger,,574-945-7600,761-730-0089,963-769-1926,144,28/12/2018,16/04/2018,3/7/2018,7/3/2018,422338427,
28,8492597429,96-972-2147,06-077-7701,Hettinger and Sons,Engineering,Orange Company,0.4,Sponsor,Fashion Designing,3,6010306574,6,822042754,Delladonna,,632-223-4425,912-613-6015,591-969-2577,689,7/11/2018,28/10/2018,13/11/2018,19/09/2018,4830178825,
29,7832368063,72-944-6917,01-136-5650,Jacobi Group,Support,Souk al Waha,0.8,Partner & Responsible Manager,Car Manufacturing,4,3710592186,26,4886081169,Ramsey,,980-923-3677,307-684-5142,225-324-3909,796,4/7/2018,25/03/2018,17/05/2018,6/8/2018,6415050621,
30,4733755201,72-302-8195,57-812-6268,Eichmann-Huels,Marketing,Souk al Waha,0.4,Sponsor,Fashion Designing,5,2405967375,32,8558885893,Hazelcrest,,453-323-4611,866-827-9161,178-789-9374,497,28/01/2019,29/07/2018,29/04/2018,21/04/2018,5397642118,
31,4753968804,11-848-4624,46-283-2817,Schmitt-Fahey,Human Resources,Souk al Waha,0.7,Partner & Responsible Manager,Car Manufacturing,1,9230602477,22,5720114831,Cottonwood,,376-526-0248,592-284-6956,844-908-0309,61015,1/4/2018,3/6/2018,8/10/2018,28/11/2018,8454550194,
32,8521588658,95-974-8097,33-724-4822,Doyle Inc,Support,Souk al Waha,0.3,Signatory,Food Delivery,2,89829689,21,7149548393,Del Mar,,110-938-0071,975-241-6078,780-556-3328,312,21/07/2018,11/6/2018,2/6/2018,7/6/2018,2068801108,
33,1629431834,18-801-1356,25-399-0907,Jacobi-Rohan,Accounting,Souk al Waha,0.8,Project Manager,Food Delivery,3,131217399,21,6907672340,International,,347-708-3809,646-863-8761,107-877-6149,363,20/10/2018,8/9/2018,24/03/2018,25/06/2018,3417947723,
34,3594675742,32-446-1720,89-086-6438,Spinka-Turner,Engineering,Orange Company,1,Sponsor,Fashion Designing,4,2729432477,11,8675950861,Oak Valley,,330-939-2430,185-956-2511,408-333-9394,97,2/12/2018,5/6/2018,15/07/2018,13/11/2018,1761397095,
35,4801000533,72-658-2756,52-996-5126,Stracke-Emmerich,Business Development,Souk al Waha,0,Project Manager,Food Provider,5,3985489718,28,2325645819,North,,278-810-9688,303-316-1677,896-405-4197,13281,12/3/2018,24/06/2018,28/06/2018,27/06/2018,8653900306,
36,8443030992,53-349-7499,18-242-2203,"Daniel, Bernier and Wolf",Support,Glass Inc.,0.7,Partner & Responsible Manager,Fashion Designing,1,1191791394,17,9232577933,American,,944-852-8928,566-732-9228,797-497-0630,57,13/10/2018,22/04/2018,9/9/2018,16/07/2018,8779565514,
37,8143565297,64-849-8603,01-074-2886,Lueilwitz Inc,Training,Steak Holder,0.9,Sponsor,Food Provider,2,7725959424,20,5777503977,Saint Paul,,980-235-3606,700-286-4382,259-919-1911,8907,7/3/2018,23/09/2018,24/10/2018,11/3/2018,8386835648,
38,4717013867,83-873-5422,67-327-4055,"Kris, Schuster and Klein",Marketing,Souk al Waha,0.6,Project Manager,Food Delivery,3,5223943627,5,7073070714,Dryden,,499-542-6707,245-202-2583,355-798-7854,90,28/08/2018,7/10/2018,1/8/2018,29/06/2018,1875266941,
39,8962461463,20-714-8271,02-225-3888,Cormier-Emard,Support,Orange Company,0.6,Signatory,Fashion Designing,4,20059256,1,9559379992,Dovetail,,408-406-5731,992-179-5099,913-180-9031,5,17/07/2018,24/09/2018,8/1/2019,5/8/2018,6023661076,
40,3952235792,15-780-5325,93-754-5915,"Terry, Deckow and Cremin",Support,Orange Company,0.2,Sponsor,Food Delivery,5,4952094596,24,1173449566,Oakridge,,964-957-0916,429-569-0391,615-458-9532,69,22/11/2018,23/04/2018,12/4/2018,10/11/2018,3859637665,
41,5593143706,24-702-2327,84-063-0480,Rippin Group,Training,Orange Company,0,Sponsor,Food Provider,1,2549751922,32,361653158,Holmberg,,456-897-2979,536-359-4825,828-187-5615,75301,7/9/2018,14/10/2018,21/09/2018,22/03/2018,4888542961,
42,3017205762,28-554-8220,92-718-0371,Langworth-Luettgen,Research and Development,Orange Company,0.9,Signatory,Car Manufacturing,2,590443984,18,7533017013,Esch,,251-793-3992,973-153-4640,148-810-6734,49236,10/5/2018,30/12/2018,2/5/2018,3/7/2018,9707386347,
43,4772433368,10-714-9484,41-720-9003,Runolfsdottir-White,Business Development,Orange Company,0.2,Signatory,Food Delivery,3,1729791549,5,3164383800,Independence,,251-684-7558,244-147-2006,370-171-5573,19555,4/11/2018,21/05/2018,6/6/2018,7/8/2018,8412813316,
44,4486602927,50-172-9727,32-891-4897,Ortiz and Sons,Business Development,Orange Company,0,Signatory,Food Provider,4,7824569578,32,2397090279,Arizona,,961-880-0192,575-517-8716,240-736-2767,503,6/1/2019,19/11/2018,2/4/2018,28/12/2018,8558623287,
45,4484612607,06-179-2548,88-597-8142,Metz-Feeney,Sales,Orange Company,0.4,Signatory,Car Manufacturing,5,7533128,31,8758051228,Anzinger,,331-720-5422,969-672-5980,989-153-0716,805,8/5/2018,1/4/2018,20/05/2018,4/11/2018,197259057,
46,7654255667,20-977-2012,42-226-9288,Wuckert and Sons,Research and Development,Steak Holder,0.2,Partner & Responsible Manager,IT Services,1,633776289,14,7272217995,Truax,,719-644-1467,652-258-4711,490-121-9432,8447,26/06/2018,10/1/2019,18/05/2018,9/7/2018,9327674553,
47,8880103628,02-001-7114,38-467-4135,"Ratke, Tromp and Powlowski",Legal,Souk al Waha,0.7,Partner & Responsible Manager,Food Delivery,2,2107818525,31,6391293252,Esker,,800-314-4398,679-518-1048,779-620-8153,206,27/03/2018,16/12/2018,28/07/2018,3/3/2018,3259532021,
48,7262887343,67-680-6754,62-867-3244,Anderson and Sons,Engineering,Orange Company,0.3,Project Manager,IT Services,3,5467556649,14,1151665002,Fremont,,718-293-4211,115-637-0442,573-523-4542,9371,8/7/2018,27/11/2018,13/04/2018,22/06/2018,2350880931,
49,630791198,57-381-0729,49-198-1020,"Zboncak, Breitenberg and Kilback",Accounting,Steak Holder,0.6,Partner & Responsible Manager,IT Services,4,5614097775,5,1134631766,Iowa,,137-126-8437,271-489-4822,506-566-3971,7501,7/9/2018,30/11/2018,29/06/2018,27/11/2018,8205771464,
50,8604340149,04-870-9047,55-256-4496,"Ebert, Rath and Goyette",Support,Glass Inc.,0.4,Signatory,IT Services,5,1921975911,10,2320156003,Fordem,,213-969-9168,134-700-9598,463-933-6340,64383,17/05/2018,7/4/2018,1/11/2018,25/08/2018,1500281832,
51,2661416358,99-003-4070,32-687-4269,Wolff-Lockman,Product Management,Souk al Waha,0.2,Sponsor,Fashion Designing,1,8903195485,26,5213774342,Village,,137-239-2390,562-666-7756,238-848-2572,86355,2/10/2018,10/9/2018,8/9/2018,21/07/2018,2941374027,
52,5007264776,15-629-4952,15-870-5345,"Torp, Hills and Hayes",Legal,Orange Company,1,Sponsor,Fashion Designing,2,7215345734,1,7115976465,Buell,,444-516-9189,223-624-4043,344-680-3300,41960,4/8/2018,30/12/2018,3/1/2019,19/02/2018,605549893,
53,4439684408,08-222-0431,45-264-6531,"Rutherford, Blick and Vandervort",Training,Orange Company,1,Signatory,Food Delivery,3,2265121932,23,1377348520,Packers,,737-891-8502,567-868-4443,219-462-8184,6,19/06/2018,22/08/2018,24/06/2018,5/6/2018,3672561827,
54,2065748133,65-272-2092,32-019-0870,Fritsch Group,Accounting,Steak Holder,0.8,Sponsor,Car Manufacturing,4,8906480679,19,2318080976,Hudson,,546-342-6776,612-632-7194,359-212-8702,5,19/06/2018,14/04/2018,3/12/2018,15/11/2018,3001633956,
55,94000301,61-606-2963,19-673-4438,Sipes-Kozey,Sales,Steak Holder,0.9,Project Manager,IT Services,5,8250330617,30,6370337447,Wayridge,,376-363-0959,436-370-9873,192-123-7743,7,15/08/2018,3/11/2018,11/11/2018,7/1/2019,5146086850,
